file,line,type,commit,author,date,time,timezone,datetime,depth,length
static/style.css,45,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,12
static/style.css,46,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,47,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,48,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,10
static/style.css,49,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,13
static/style.css,50,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,59
static/style.css,51,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,8
static/style.css,52,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,53,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,54,css,1735bc13,Krishna,2026-02-21,11:18:14,-05:00,2026-02-21T11:18:14-05:00,0,10
static/style.css,55,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,13
static/style.css,56,css,1735bc13,Krishna,2026-02-21,11:18:14,-05:00,2026-02-21T11:18:14-05:00,0,59
static/style.css,57,css,1735bc13,Krishna,2026-02-21,11:18:14,-05:00,2026-02-21T11:18:14-05:00,0,8
static/style.css,58,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,59,css,1735bc13,Krishna,2026-02-21,11:18:14,-05:00,2026-02-21T11:18:14-05:00,0,0
static/style.css,60,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,3
static/style.css,61,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,9
static/style.css,62,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,63,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,64,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,3
static/style.css,65,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,15
static/style.css,66,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,67,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,68,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,23
static/style.css,69,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,16
static/style.css,70,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,18
static/style.css,71,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,72,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,3
static/style.css,73,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,25
static/style.css,74,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,75,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,76,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,8
static/style.css,77,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,21
static/style.css,78,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,18
static/style.css,79,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,55
static/style.css,80,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,81,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,8
static/style.css,82,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,21
static/style.css,83,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,84,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,85,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,17
static/style.css,86,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,21
static/style.css,87,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,88,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,89,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,11
